Freguesia,Indice_Envelhecimento_2021,Proporcao_Populacao_Residente_Estrangeira_2021,Densidade_Populacional_2021,Variacao_Relativa_Populacao_Residente_2011_2021,Número_Residencia_Habitual_2011,Número_Residencia_Secundaria_2011,Número_Vago_Venda_Arrendamento_2011,Número_Vago_Outros_Motivos_2011,Número_Residencia_Habitual_2021,Número_Residencia_Secundaria_2021,Número_Vago_Venda_Arrendamento_2021,Número_Vago_Outros_Motivos_2021,Número_Total_Alojamentos_2021,Area_Freguesia_km2,Densidade_Alojamentos_Familiares_Classicos_2021,Percentagem_Residencia_Habitual_2021,Percentagem_Residencia_Secundaria_2021,Indice_Pressao_Habitacional_2021,Pct_Fogos_Vagos_2021,Número_Agregados_1_Pessoa_2021,Número_Agregados_2_Pessoas_2021,Número_Agregados_3_Pessoas_2021,Número_Agregados_4_Pessoas_2021,Número_Agregados_5_Pessoas_2021,Número_Agregados_6_Pessoas_2021,Número_Agregados_7_Pessoas_2021,Número_Agregados_8_Pessoas_2021,Número_Agregados_9_Mais_Pessoas_2021,Total_Agregados_2021,Dimensao_Media_Agregados_2021,Proporcao_Populacao_Residente_Ensino_Superior_Completo_2021,Variacao_absoluta_Proporcao_Populacao_Residente_Ensino_Superior_Completo_2011_2021,PCT_Edificios_Antigos,PCT_Edificios_Intermediarios,PCT_Edificios_Modernos
Ajuda,250.54,7.28,"4967,36",-8.394698085419734,6912,1094,384,493,6549,949,604,709,8811,2.88,3059.375,74.32754511406196,10.770627624560209,1.0016796457474424,14.901827261377823,2379,2160,1098,605,202,72,33,2,9,6560,2.1620426829268293,28.3,11.850000000000001,0.7389543446244478,0.19882179675994108,0.062223858615611194
Alcântara,245.4,11.75,"2731,76",-0.667001362690956,6512,944,753,677,6668,682,601,907,8858,5.07,1747.1400394477316,75.27658613682546,7.699254910815083,1.000749850029994,17.02415895235945,2655,2182,1014,559,181,56,16,6,4,6673,2.058144762475648,40.31,13.370000000000001,0.7046215673141326,0.23710649698593436,0.05827193569993302
Alvalade,239.34,5.38,"6237,64",4.702480118190676,14104,2477,642,1534,14765,1659,888,1559,18871,5.34,3533.8951310861426,78.24174659530496,8.791267023475173,1.0010159160176093,12.966986381219861,5328,4656,2370,1734,515,113,39,13,12,14780,2.1937753721244926,56.03,13.04,0.7135395741261551,0.24668541582965045,0.03977501004419445
Areeiro,208.12,7.86,"12302,33",5.111519546967363,8991,1553,782,1203,9452,1319,1028,730,12529,1.74,7200.574712643678,75.44097693351425,10.527576023625189,1.0006347862886162,14.031447042860565,3362,3046,1484,1068,349,101,28,7,13,9458,2.209558046098541,55.88,11.770000000000003,0.6884531590413944,0.2643427741466957,0.04720406681190995
Arroios,236.25,23.33,"15634,74",5.209616781979591,14327,2582,1544,2558,15025,1933,1559,2331,20848,2.13,9787.793427230048,72.06926323867997,9.271872601688411,1.0019301164725458,18.65886415963162,5702,4936,2177,1388,479,169,92,42,69,15054,2.169988043045038,46.49,14.560000000000002,0.7720961733830003,0.1842194378598036,0.043684388757196074
Avenidas Novas,209.78,9.97,"7779,6",7.565317919075144,9607,2005,969,1846,10432,2087,1034,1224,14777,2.99,4942.140468227424,70.59619679231238,14.123299722541788,1.0012461656441718,15.280503485145836,3937,3286,1512,1109,432,119,34,9,7,10445,2.175969363331738,61.13,11.830000000000005,0.541785105173394,0.3501989766913019,0.10801591813530415
Beato,216.59,11.84,"4912,5",-4.349532857030698,5672,794,303,1015,5713,507,399,900,7519,2.48,3031.8548387096776,75.98084851709004,6.7429179412155875,1.0007001575354455,17.276233541694374,2101,1962,905,506,161,52,19,6,5,5717,2.117719083435368,26.08,8.569999999999997,0.6260115606936416,0.33583815028901737,0.03815028901734104
Belém,183.08,7.12,"1586,39",0.10890609874152954,6997,913,551,978,7154,791,550,879,9374,10.43,898.7535953978908,76.31747386387882,8.4382334115639,1.0001397819401734,15.244292724557287,2445,2283,1081,872,340,97,26,6,5,7155,2.277987421383648,56.95,9.670000000000002,0.5694974003466204,0.34038128249566724,0.09012131715771231
Benfica,263.21,5.98,"4409,23",-4.3882655130458295,16577,2223,807,1682,16488,1958,998,1436,20880,8.02,2603.491271820449,78.96551724137932,9.377394636015325,1.0006065016982049,11.657088122605364,5949,5767,2561,1607,395,123,52,23,21,16498,2.1241362589404775,40.47,10.45,0.41155234657039713,0.529482551143201,0.05896510228640193
Campo de Ourique,221.51,11.26,"13418,18",0.09041591320072333,10346,1432,777,1222,10370,998,978,1278,13624,1.65,8256.969696969698,76.11567821491487,7.325308279506753,1.000096432015429,16.559013505578392,4094,3290,1427,1067,355,103,27,6,2,10371,2.1088612477099606,47.01,12.86,0.6895570906135717,0.2584315318976026,0.05201137748882568
Campolide,205.92,10.48,"5338,27",-4.353169469598965,6581,1007,636,1000,6636,884,611,972,9103,2.77,3286.2815884476536,72.89904427111941,9.711084257936944,1.0009041591320071,17.389871470943643,2529,2165,1038,639,191,55,15,5,5,6642,2.1084010840108403,36.34,10.520000000000003,0.6314855875831485,0.3073170731707317,0.06119733924611973
Carnide,110.7,4.76,"4885,64",-6.192111562077219,7544,817,439,507,7430,748,297,534,9009,3.69,2441.4634146341464,82.47308247308247,8.302808302808302,1.0,9.224109224109224,2261,2366,1332,1018,294,95,33,19,12,7430,2.3676985195154776,42.31,5.830000000000005,0.4591467823571945,0.4757772957339118,0.0650759219088937
Estrela,170.4,14.35,"4405,87",0.6905802861685214,8738,1278,945,2136,8921,1172,915,1649,12657,4.6,2751.521739130435,70.48273682547207,9.2596981907245,1.0354220378881291,20.257564983803427,3608,2828,1271,916,416,145,34,9,10,9237,2.1750568366352714,53.74,13.780000000000001,0.7677094570298454,0.15929521754764472,0.07299532542250989
Lumiar,96.26,5.08,"7052,36",1.5985089354237474,18440,2733,1092,1073,19547,2496,887,1143,24073,6.57,3664.0791476407912,81.19885348730944,10.368462592946456,1.0003069524735253,8.432683919744113,6016,6266,3504,2731,742,172,65,25,32,19553,2.3356518181353243,60.63,6.410000000000004,0.11,0.6547368421052632,0.23526315789473684
