freguesia,Num_Estacoes_Metro,Num_Estacoes_Comboio,Num_Prestadores_Saude,Area_km2,Densidade_Estacoes_Metro_km2,Densidade_Estacoes_Comboio_km2,Densidade_Prestadores_Saude_km2,Num_Estabelecimentos_Ensino_Superior,Densidade_Estabelecimentos_Ensino_Superior_km2,Num_Escolas_Publicas,Densidade_Escolas_Publicas_km2,Num_Escolas_Privadas,Densidade_Escolas_Privadas_km2,Num_Jardins_Parques_Urbanos,Densidade_Jardins_Parques_Urbanos_km2,Num_Museus,Densidade_Museus_km2,Num_Mercados,Densidade_Mercados_km2,Num_Supermercados,Densidade_Supermercados_km2
Lumiar,4,0,5,6.57,0.60882800608828,0.0,0.76103500761035,1,0.15220700152207,17,2.5875190258751903,37,5.6316590563165905,7,1.06544901065449,2,0.30441400304414,0,0.0,7,1.06544901065449
Avenidas Novas,6,1,5,2.99,2.0066889632107023,0.33444816053511706,1.672240802675585,2,0.6688963210702341,5,1.672240802675585,17,5.68561872909699,9,3.0100334448160533,3,1.0033444816053512,1,0.33444816053511706,10,3.34448160535117
Areeiro,1,0,0,1.74,0.5747126436781609,0.0,0.0,1,0.5747126436781609,4,2.2988505747126435,10,5.747126436781609,8,4.597701149425287,0,0.0,1,0.5747126436781609,7,4.022988505747127
Beato,1,1,0,2.48,0.40322580645161293,0.40322580645161293,0.0,0,0.0,8,3.2258064516129035,0,0.0,1,0.40322580645161293,0,0.0,1,0.40322580645161293,1,0.40322580645161293
Benfica,1,1,3,8.02,0.12468827930174564,0.12468827930174564,0.3740648379052369,3,0.3740648379052369,14,1.745635910224439,17,2.119700748129676,7,0.8728179551122195,0,0.0,2,0.24937655860349128,4,0.49875311720698257
Misericórdia,1,1,5,2.19,0.4566210045662101,0.4566210045662101,2.2831050228310503,1,0.4566210045662101,7,3.1963470319634704,6,2.73972602739726,6,2.73972602739726,7,3.1963470319634704,1,0.4566210045662101,1,0.4566210045662101
Parque das Nações,2,1,1,5.44,0.3676470588235294,0.1838235294117647,0.1838235294117647,1,0.1838235294117647,8,1.4705882352941175,16,2.941176470588235,7,1.2867647058823528,1,0.1838235294117647,0,0.0,2,0.3676470588235294
Olivais,4,0,3,8.09,0.49443757725587145,0.0,0.3708281829419036,0,0.0,19,2.3485784919653896,18,2.2249690976514214,7,0.865265760197775,0,0.0,0,0.0,2,0.24721878862793573
Marvila,2,2,2,7.12,0.2808988764044944,0.2808988764044944,0.2808988764044944,3,0.42134831460674155,19,2.6685393258426964,18,2.5280898876404496,8,1.1235955056179776,1,0.1404494382022472,1,0.1404494382022472,2,0.2808988764044944
Santa Clara,1,0,0,3.36,0.2976190476190476,0.0,0.0,0,0.0,11,3.2738095238095237,11,3.2738095238095237,5,1.4880952380952381,0,0.0,0,0.0,0,0.0
Alvalade,3,1,4,5.34,0.5617977528089888,0.18726591760299627,0.7490636704119851,12,2.247191011235955,15,2.808988764044944,39,7.3033707865168545,8,1.4981273408239701,3,0.5617977528089888,2,0.37453183520599254,3,0.5617977528089888
Penha de França,0,0,2,2.71,0.0,0.0,0.7380073800738007,0,0.0,10,3.690036900369004,9,3.321033210332103,0,0.0,1,0.36900369003690037,0,0.0,0,0.0
Santo António,3,0,6,1.49,2.0134228187919465,0.0,4.026845637583893,2,1.342281879194631,4,2.684563758389262,0,0.0,5,3.3557046979865772,4,2.684563758389262,0,0.0,7,4.697986577181208
Arroios,4,0,6,2.13,1.8779342723004695,0.0,2.8169014084507045,3,1.4084507042253522,8,3.755868544600939,27,12.67605633802817,6,2.8169014084507045,1,0.4694835680751174,1,0.4694835680751174,3,1.4084507042253522
Santa Maria Maior,5,1,2,3.01,1.6611295681063125,0.33222591362126247,0.6644518272425249,2,0.6644518272425249,4,1.3289036544850499,3,0.9966777408637875,2,0.6644518272425249,18,5.980066445182724,0,0.0,4,1.3289036544850499
Campo de Ourique,0,0,2,1.65,0.0,0.0,1.2121212121212122,1,0.6060606060606061,13,7.878787878787879,21,12.727272727272728,2,1.2121212121212122,3,1.8181818181818183,1,0.6060606060606061,2,1.2121212121212122
Alcântara,0,0,4,5.07,0.0,0.0,0.7889546351084812,4,0.7889546351084812,7,1.3806706114398422,7,1.3806706114398422,7,1.3806706114398422,2,0.3944773175542406,1,0.1972386587771203,0,0.0
Ajuda,0,0,2,2.88,0.0,0.0,0.6944444444444444,3,1.0416666666666667,6,2.0833333333333335,8,2.7777777777777777,6,2.0833333333333335,0,0.0,0,0.0,1,0.3472222222222222
Belém,0,1,1,10.43,0.0,0.09587727708533078,0.09587727708533078,1,0.09587727708533078,10,0.9587727708533078,41,3.930968360498562,12,1.1505273250239694,9,0.862895493767977,0,0.0,0,0.0
São Domingos de Benfica,3,1,5,4.29,0.6993006993006993,0.2331002331002331,1.1655011655011656,7,1.6317016317016317,7,1.6317016317016317,24,5.594405594405594,8,1.8648018648018647,3,0.6993006993006993,1,0.2331002331002331,4,0.9324009324009324
Campolide,1,1,1,2.77,0.36101083032490977,0.36101083032490977,0.36101083032490977,1,0.36101083032490977,4,1.444043321299639,9,3.2490974729241877,5,1.8050541516245486,0,0.0,0,0.0,0,0.0
Carnide,2,0,2,3.69,0.5420054200542006,0.0,0.5420054200542006,1,0.2710027100271003,10,2.710027100271003,8,2.1680216802168024,5,1.3550135501355014,0,0.0,1,0.2710027100271003,1,0.2710027100271003
São Vicente,1,1,1,1.99,0.5025125628140703,0.5025125628140703,0.5025125628140703,0,0.0,6,3.0150753768844223,7,3.5175879396984926,5,2.512562814070352,2,1.0050251256281406,0,0.0,0,0.0
Estrela,0,3,7,4.6,0.0,0.6521739130434783,1.5217391304347827,1,0.2173913043478261,3,0.6521739130434783,16,3.4782608695652177,10,2.173913043478261,3,0.6521739130434783,0,0.0,0,0.0
