Freguesia,AnoMes,Stock_12M_ALV_Nova_Construcao_Area,Stock_12M_ALV_Reabilitacao_Area,Stock_12M_ALV_Nova_Construcao_Count,Stock_12M_ALV_Reabilitacao_Count,Stock_12M_ALV_Demolicao_Area,Stock_12M_ALV_Demolicao_Count,Racio_Gentrificacao_ALV_Area,Racio_Gentrificacao_ALV_Count
Misericórdia,2016-08,109.4296875,87089.2001953126,1.0,102.0,1138.330078125,5.0,795.8454657084352,101.98980101989801
Misericórdia,2016-09,109.4296875,85589.5830078126,1.0,98.0,1138.330078125,5.0,782.1415444840611,97.99020097990201
Misericórdia,2016-10,109.4296875,87003.59130859385,1.0,101.0,1138.330078125,5.0,795.0631477612424,100.98990100989901
Misericórdia,2016-11,109.4296875,80861.36572265635,1.0,99.0,401.0966796875,3.0,738.9337726956323,98.99010098990101
Misericórdia,2016-12,109.4296875,79163.7490234376,1.0,95.0,109.4296875,1.0,723.420476562998,94.99050094990501
Misericórdia,2017-01,371.25341796875,80276.5214843751,2.0,97.0,109.4296875,1.0,216.23100549617507,48.49757512124393
Misericórdia,2017-02,14723.78222656255,80894.84912109385,3.0,101.0,109.4296875,1.0,5.4941622557917675,33.6655444818506
Misericórdia,2017-03,14723.78222656255,63014.1206054688,3.0,95.0,109.4296875,1.0,4.279750896057986,31.66561114629512
Misericórdia,2017-04,14723.78222656255,63696.0952148438,3.0,97.0,109.4296875,1.0,4.326068791436314,32.33225559148028
Misericórdia,2017-05,14614.35253906255,60982.72753906255,2.0,93.0,0.0,0.0,4.1727970472029305,46.49767511624418
Misericórdia,2017-06,14614.35253906255,46714.9306640625,2.0,90.0,0.0,0.0,3.196510431751774,44.99775011249437
Misericórdia,2017-07,14614.35253906255,50212.306640625,2.0,89.0,0.0,0.0,3.4358214750075935,44.49777511124444
Misericórdia,2017-08,14614.35253906255,47357.5576171875,2.0,84.0,0.0,0.0,3.2404827491712487,41.99790010499475
Misericórdia,2017-09,14614.35253906255,52445.115234375,2.0,84.0,0.0,0.0,3.5886033770798034,41.99790010499475
Misericórdia,2017-10,14614.35253906255,50229.22216796875,2.0,82.0,0.0,0.0,3.4369789349212496,40.99795010249487
Misericórdia,2017-11,14614.35253906255,49090.345703125,2.0,78.0,0.0,0.0,3.35905030592405,38.998050097495124
Misericórdia,2017-12,14614.35253906255,52005.5634765625,2.0,79.0,0.0,0.0,3.5585266594400755,39.49802509874506
Misericórdia,2018-01,14591.6723632813,53722.4736328125,2.0,74.0,0.0,0.0,3.6817214591405154,36.99815009249537
Misericórdia,2018-02,239.1435546875,52752.2802734375,1.0,69.0,0.0,0.0,220.58824994696735,68.99310068993101
Misericórdia,2018-03,239.1435546875,51484.3525390625,1.0,73.0,0.0,0.0,215.28629980310149,72.99270072992701
Misericórdia,2018-04,239.1435546875,52102.43212890625,1.0,74.0,0.0,0.0,217.87085338722824,73.992600739926
Misericórdia,2018-05,239.1435546875,53397.3857421875,1.0,79.0,0.0,0.0,223.28581459526626,78.99210078992101
Misericórdia,2018-06,239.1435546875,61209.03564453125,1.0,85.0,0.0,0.0,255.9509083547122,84.99150084991501
Misericórdia,2018-07,239.1435546875,56543.8046875,1.0,83.0,0.0,0.0,236.44283918546108,82.99170082991701
Misericórdia,2018-08,239.1435546875,48912.21923828125,1.0,83.0,0.0,0.0,204.53070060419162,82.99170082991701
Misericórdia,2018-09,239.1435546875,43163.494140625,1.0,84.0,0.0,0.0,180.49190641093412,83.991600839916
Misericórdia,2018-10,239.1435546875,40789.96728515625,1.0,80.0,0.0,0.0,170.5667973438742,79.99200079992
Misericórdia,2018-11,239.1435546875,44898.04736328125,1.0,90.0,0.0,0.0,187.74509163519974,89.99100089991
Misericórdia,2018-12,239.1435546875,44133.91650390625,1.0,90.0,0.0,0.0,184.5498119595858,89.99100089991
Misericórdia,2019-01,0.0,40666.439453125,0.0,91.0,0.0,0.0,406664394.53125,910000.0
Misericórdia,2019-02,0.0,45353.8671875,0.0,91.0,0.0,0.0,453538671.875,910000.0
Misericórdia,2019-03,0.0,45217.640625,0.0,90.0,392.83984375,1.0,452176406.25,900000.0
Misericórdia,2019-04,0.0,43003.03369140625,0.0,86.0,392.83984375,1.0,430030336.9140625,860000.0
Misericórdia,2019-05,0.0,42557.11865234375,0.0,83.0,392.83984375,1.0,425571186.5234375,830000.0
Misericórdia,2019-06,2653.16748046875,36027.326171875,1.0,79.0,392.83984375,1.0,13.57898627930236,78.99210078992101
Misericórdia,2019-07,2653.16748046875,35273.50341796875,1.0,78.0,392.83984375,1.0,13.294864477326675,77.99220077992202
Misericórdia,2019-08,3145.5224609375,34916.8203125,2.0,76.0,392.83984375,1.0,11.100483190333023,37.998100094995245
Misericórdia,2019-09,3145.5224609375,35178.8642578125,2.0,74.0,392.83984375,1.0,11.183790157692494,36.99815009249537
Misericórdia,2019-10,3145.5224609375,36852.62939453125,2.0,76.0,392.83984375,1.0,11.715900515921778,37.998100094995245
Misericórdia,2019-11,3145.5224609375,33822.33056640625,2.0,70.0,392.83984375,1.0,10.75253154640409,34.99825008749562
Misericórdia,2019-12,3145.5224609375,34953.12109375,2.0,68.0,392.83984375,1.0,11.11202365159081,33.99830008499575
Misericórdia,2020-01,3145.5224609375,34771.18017578125,2.0,67.0,392.83984375,1.0,11.054182413944586,33.49832508374581
Misericórdia,2020-02,3145.5224609375,31009.92529296875,2.0,70.0,392.83984375,1.0,9.85843359639629,34.99825008749562
Misericórdia,2020-03,3145.5224609375,43469.75878906255,2.0,67.0,0.0,0.0,13.81956668468679,33.49832508374581
Misericórdia,2020-04,3145.5224609375,43321.6000976563,2.0,68.0,0.0,0.0,13.772465229034825,33.99830008499575
Misericórdia,2020-05,3262.732421875,41404.5454101563,3.0,67.0,0.0,0.0,12.690143961406397,22.332588913702875
Misericórdia,2020-06,609.56494140625,39243.6665039063,2.0,59.0,0.0,0.0,64.37978531933562,29.49852507374631
Misericórdia,2020-07,609.56494140625,39980.78515625005,2.0,60.0,0.0,0.0,65.58903880710656,29.998500074996247
Misericórdia,2020-08,117.2099609375,43872.1557617188,1.0,64.0,0.0,0.0,374.3036682244605,63.993600639936005
Misericórdia,2020-09,117.2099609375,42487.0336914063,1.0,63.0,0.0,0.0,362.48623498337474,62.99370062993701
Misericórdia,2020-10,117.2099609375,41535.32226562505,1.0,62.0,0.0,0.0,354.3665273561538,61.99380061993801
Misericórdia,2020-11,117.2099609375,43000.03222656255,1.0,65.0,0.0,0.0,366.8629798724487,64.993500649935
Misericórdia,2020-12,117.2099609375,39146.91894531255,1.0,64.0,0.0,0.0,333.9894086923723,63.993600639936005
Misericórdia,2021-01,117.2099609375,37733.63476562505,1.0,64.0,0.0,0.0,321.9317050414792,63.993600639936005
Misericórdia,2021-02,117.2099609375,35354.03222656255,1.0,62.0,0.0,0.0,301.6296719222286,61.99380061993801
Misericórdia,2021-03,251.87451171875,23913.0400390625,2.0,68.0,0.0,0.0,94.94025569263982,33.99830008499575
Misericórdia,2021-04,251.87451171875,24778.2802734375,2.0,67.0,0.0,0.0,98.37545794851923,33.49832508374581
Misericórdia,2021-05,134.66455078125,24841.6142578125,1.0,66.0,0.0,0.0,184.47019402415674,65.99340065993401
Misericórdia,2021-06,134.66455078125,26376.7421875,1.0,76.0,0.0,0.0,195.86982949479832,75.99240075992401
Misericórdia,2021-07,3500.12646484375,30136.416015625,2.0,81.0,0.0,0.0,8.610093223006158,40.49797510124493
Misericórdia,2021-08,5468.939453125,31015.81396484375,3.0,81.0,0.0,0.0,5.671266552419845,26.999100029999
Misericórdia,2021-09,5468.939453125,30956.6416015625,3.0,80.0,0.0,0.0,5.660446838157793,26.665777807406418
Misericórdia,2021-10,5468.939453125,30074.48486328125,3.0,79.0,0.0,0.0,5.499143768392251,26.332455584813836
Misericórdia,2021-11,5468.939453125,29518.353515625,3.0,72.0,0.0,0.0,5.397454703765733,23.999200026665775
Misericórdia,2021-12,10112.9443359375,28008.64990234375,4.0,67.0,0.0,0.0,2.769584079075113,16.74958126046849
Misericórdia,2022-01,10112.9443359375,27725.1220703125,4.0,65.0,0.0,0.0,2.7415479483688374,16.249593760155996
Misericórdia,2022-02,10112.9443359375,32476.37109375,4.0,64.0,0.0,0.0,3.2113665114525416,15.999600009999751
Misericórdia,2022-03,9978.27978515625,31428.4453125,3.0,60.0,0.0,0.0,3.149685684729404,19.999333355554814
Misericórdia,2022-04,9978.27978515625,30297.4658203125,3.0,58.0,0.0,0.0,3.036341550749964,19.332688910369654
Misericórdia,2022-05,9978.27978515625,29662.75390625,3.0,56.0,0.0,0.0,2.97273219910142,18.66604446518449
Misericórdia,2022-06,9978.27978515625,29057.4658203125,3.0,50.0,0.0,0.0,2.912071635065936,16.666111129629012
Misericórdia,2022-07,6612.81787109375,24262.66455078125,2.0,43.0,0.0,0.0,3.6690355997759667,21.49892505374731
Misericórdia,2022-08,4644.0048828125,20366.61669921875,1.0,39.0,0.0,0.0,4.385571672424074,38.99610038996101
Misericórdia,2022-09,4644.0048828125,20017.2255859375,1.0,37.0,0.0,0.0,4.310336801967572,36.996300369963
Misericórdia,2022-10,4644.0048828125,18663.99609375,1.0,33.0,0.0,0.0,4.018944028446481,32.996700329967005
Misericórdia,2022-11,4644.0048828125,16122.99853515625,1.0,31.0,0.0,0.0,3.4717875184948332,30.996900309969003
Misericórdia,2022-12,0.0,15765.05224609375,0.0,30.0,0.0,0.0,157650522.4609375,300000.0
Misericórdia,2023-01,0.0,15329.5087890625,0.0,28.0,0.0,0.0,153295087.890625,280000.0
Misericórdia,2023-02,0.0,8891.4716796875,0.0,21.0,0.0,0.0,88914716.796875,210000.0
Misericórdia,2023-03,0.0,6469.4072265625,0.0,15.0,0.0,0.0,64694072.265625,150000.0
Misericórdia,2023-04,0.0,5782.24560546875,0.0,12.0,0.0,0.0,57822456.0546875,120000.0
Misericórdia,2023-05,0.0,5552.22216796875,0.0,11.0,0.0,0.0,55522221.6796875,110000.0
Misericórdia,2023-06,0.0,2777.95068359375,0.0,6.0,0.0,0.0,27779506.8359375,60000.0
Misericórdia,2023-07,0.0,2602.076171875,0.0,5.0,0.0,0.0,26020761.71875,50000.0
Misericórdia,2023-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misericórdia,2023-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misericórdia,2023-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misericórdia,2023-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misericórdia,2023-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misericórdia,2024-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Misericórdia,2024-02,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-03,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-04,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-05,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-06,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-07,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-08,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-09,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-10,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-11,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2024-12,0.0,181.71337890625,0.0,1.0,0.0,0.0,1817133.7890625,10000.0
Misericórdia,2025-01,0.0,613.3837890625,0.0,2.0,0.0,0.0,6133837.890625,20000.0
Misericórdia,2025-02,0.0,431.67041015625,0.0,1.0,0.0,0.0,4316704.1015625,10000.0
Misericórdia,2025-03,0.0,1127.0537109375,0.0,2.0,0.0,0.0,11270537.109375,20000.0
Misericórdia,2025-04,0.0,1127.0537109375,0.0,2.0,0.0,0.0,11270537.109375,20000.0
Misericórdia,2025-05,0.0,1359.2080078125,0.0,3.0,0.0,0.0,13592080.078125,30000.0
Misericórdia,2025-06,0.0,1884.74951171875,0.0,4.0,0.0,0.0,18847495.1171875,40000.0
Misericórdia,2025-07,0.0,2740.5361328125,0.0,6.0,0.0,0.0,27405361.328125,60000.0
Misericórdia,2025-08,0.0,2740.5361328125,0.0,6.0,0.0,0.0,27405361.328125,60000.0
Misericórdia,2025-09,0.0,2862.4853515625,0.0,7.0,0.0,0.0,28624853.515625,70000.0
Misericórdia,2025-10,0.0,2862.4853515625,0.0,7.0,0.0,0.0,28624853.515625,70000.0
Misericórdia,2025-11,0.0,2997.22119140625,0.0,8.0,0.0,0.0,29972211.9140625,80000.0
Belém,2016-08,2742.32137685921,13726.55322265625,8.0,33.0,885.10302734375,11.0,5.005450067939269,4.124948438144523
Belém,2016-09,2615.39404296875,13550.42041015625,7.0,35.0,885.10302734375,11.0,5.181024224048725,4.999928572448965
Belém,2016-10,2862.71630859375,13669.17236328125,9.0,36.0,885.10302734375,11.0,4.774895732684868,3.999955556049377
Belém,2016-11,2439.85791015625,17216.623046875,8.0,39.0,885.10302734375,11.0,7.056403682184946,4.874939063261709
Belém,2016-12,2923.43017578125,18864.68359375,8.0,43.0,885.10302734375,11.0,6.45292749070564,5.374932813339833
Belém,2017-01,3454.72119140625,18445.78564453125,9.0,42.0,885.10302734375,11.0,5.339297757655832,4.666614815390941
Belém,2017-02,4601.22314453125,21997.6953125,10.0,45.0,885.10302734375,11.0,4.780836343606061,4.4999550004499955
Belém,2017-03,6068.162109375,17528.2578125,11.0,43.0,885.10302734375,11.0,2.888561183387573,3.909055372223889
Belém,2017-04,5032.86572265625,17725.478515625,8.0,43.0,885.10302734375,11.0,3.5219453766939153,5.374932813339833
Belém,2017-05,6195.7255859375,17896.40771484375,10.0,42.0,885.10302734375,11.0,2.888508727147718,4.199958000419996
Belém,2017-06,5796.87890625,22457.201171875,9.0,47.0,0.0,0.0,3.874015853645108,5.222164198175576
Belém,2017-07,5473.9853515625,22735.72998046875,8.0,50.0,0.0,0.0,4.153414396448394,6.2499218759765505
Belém,2017-08,5473.9853515625,21507.6220703125,8.0,47.0,0.0,0.0,3.9290608754126923,5.874926563417957
Belém,2017-09,5594.2548828125,19940.0595703125,9.0,44.0,0.0,0.0,3.5643816078414923,4.8888345685047945
