Freguesia,AnoMes,Stock_12M_PED_Nova_Construcao_Area,Stock_12M_PED_Reabilitacao_Area,Stock_12M_PED_Nova_Construcao_Count,Stock_12M_PED_Reabilitacao_Count,Stock_12M_PED_Demolicao_Area,Stock_12M_PED_Demolicao_Count,Racio_Gentrificacao_PED_Area,Racio_Gentrificacao_PED_Count
Misericórdia,2016-08,18926.9379882813,114371.10090057558,4.0,201.0,0.0,0.0,6.04276826854466,50.248743781405466
Misericórdia,2016-09,15039.3422851563,126650.50763885689,3.0,201.0,0.0,0.0,8.421279627482905,66.99776674110862
Misericórdia,2016-10,15039.3422851563,146212.1458224507,3.0,215.0,0.0,0.0,9.721977336373486,71.66427785740474
Misericórdia,2016-11,15039.3422851563,150639.40412323194,3.0,218.0,0.0,0.0,10.016355786401387,72.66424452518248
Misericórdia,2016-12,686.8134765625,162264.25666229444,2.0,233.0,0.0,0.0,236.25662363057322,116.49417529123542
Misericórdia,2017-01,686.8134765625,158762.76056854444,2.0,238.0,861.7158203125,1.0,231.1584482111603,118.99405029748512
Misericórdia,2017-02,686.8134765625,160577.4905490132,2.0,237.0,861.7158203125,1.0,233.80069356331464,118.49407529623518
Misericórdia,2017-03,686.8134765625,162100.3928927632,2.0,244.0,861.7158203125,1.0,236.01803811752703,121.99390030498473
Misericórdia,2017-04,3457.19091796875,176866.24592010697,4.0,247.0,861.7158203125,1.0,51.15894522485008,61.74845628859279
Misericórdia,2017-05,3457.19091796875,168955.2402343752,4.0,233.0,861.7158203125,1.0,48.87066967264185,58.24854378640534
Misericórdia,2017-06,3009.52099609375,166092.01636639258,3.0,233.0,861.7158203125,1.0,55.1888526656198,77.66407786407119
Misericórdia,2017-07,2770.37744140625,161972.42798748633,2.0,229.0,861.7158203125,1.0,58.46583202709214,114.49427528623568
Misericórdia,2017-08,2770.37744140625,153294.65357342383,2.0,232.0,861.7158203125,1.0,55.33348840808574,115.99420028998549
Misericórdia,2017-09,2770.37744140625,146902.89478436127,2.0,242.0,861.7158203125,1.0,53.02630872101028,120.99395030248486
Misericórdia,2017-10,2770.37744140625,133015.57837811124,2.0,234.0,861.7158203125,1.0,48.01352031990276,116.99415029248536
Misericórdia,2017-11,2770.37744140625,129935.70728436123,2.0,233.0,861.7158203125,1.0,46.90180502199912,116.49417529123542
Misericórdia,2017-12,10779.84423828125,135220.822030455,4.0,225.0,861.7158203125,1.0,12.543856644595552,56.24859378515537
Misericórdia,2018-01,10779.84423828125,146543.95630779874,4.0,231.0,0.0,0.0,13.594255325876428,57.74855628609285
Misericórdia,2018-02,10779.84423828125,152332.9226163925,4.0,230.0,0.0,0.0,14.13127294198764,57.49856253593661
Misericórdia,2018-03,10779.84423828125,150853.07251873624,4.0,222.0,0.0,0.0,13.993993585141919,55.498612534686636
Misericórdia,2018-04,8009.466796875,136371.62427654868,2.0,214.0,0.0,0.0,17.02630475066398,106.99465026748662
Misericórdia,2018-05,8009.466796875,140282.94117107993,2.0,226.0,0.0,0.0,17.514641483294373,112.99435028248587
Misericórdia,2018-06,8009.466796875,144637.83398437506,2.0,233.0,0.0,0.0,18.058359669456582,116.49417529123542
Misericórdia,2018-07,8009.466796875,127827.2373046875,2.0,230.0,392.83984375,1.0,15.959518773285772,114.99425028748561
Misericórdia,2018-08,8009.466796875,138943.59619140625,2.0,228.0,392.83984375,1.0,17.347421242931528,113.99430028498574
Misericórdia,2018-09,8009.466796875,128634.7255859375,2.0,213.0,392.83984375,1.0,16.060335505740845,106.49467526623668
Misericórdia,2018-10,8009.466796875,125592.80126953125,2.0,215.0,392.83984375,1.0,15.6805443965981,107.49462526873656
Misericórdia,2018-11,8009.466796875,124483.5712890625,2.0,212.0,392.83984375,1.0,15.542054532696978,105.99470026498673
Misericórdia,2018-12,0.0,105541.044921875,0.0,198.0,392.83984375,1.0,1055410449.21875,1980000.0
Misericórdia,2019-01,0.0,93691.2275390625,0.0,188.0,392.83984375,1.0,936912275.390625,1880000.0
Misericórdia,2019-02,2103.4775390625,85439.30908203125,2.0,188.0,392.83984375,1.0,40.61812091337978,93.99530023498824
Misericórdia,2019-03,2103.4775390625,82532.66259765625,2.0,187.0,392.83984375,1.0,39.23629187445999,93.4953252337383
Misericórdia,2019-04,2103.4775390625,80382.36083984375,2.0,180.0,392.83984375,1.0,38.2140315385855,89.99550022498875
Misericórdia,2019-05,2103.4775390625,80325.2490234375,2.0,171.0,392.83984375,1.0,38.18688039832821,85.4957252137393
Misericórdia,2019-06,2103.4775390625,78262.9794921875,2.0,168.0,392.83984375,1.0,37.20647086463375,83.9958002099895
Misericórdia,2019-07,2103.4775390625,77491.20263671875,2.0,164.0,0.0,0.0,36.83956567812902,81.99590020498974
Misericórdia,2019-08,2103.4775390625,65462.56982421875,2.0,158.0,0.0,0.0,31.12111515166607,78.99605019749012
Misericórdia,2019-09,2455.15478515625,65396.92919921875,3.0,157.0,0.0,0.0,26.636579873068488,52.331588947035094
Misericórdia,2019-10,2455.15478515625,64603.13623046875,3.0,152.0,0.0,0.0,26.313263012878025,50.6649778340722
Misericórdia,2019-11,2455.15478515625,66381.57177734375,3.0,155.0,0.0,0.0,27.03763097745221,51.66494450184994
Misericórdia,2019-12,2455.15478515625,71229.3935546875,3.0,172.0,0.0,0.0,29.01217922557026,57.3314222859238
Misericórdia,2020-01,2455.15478515625,68016.8935546875,3.0,168.0,0.0,0.0,27.70370780512236,55.99813339555348
Misericórdia,2020-02,351.67724609375,69526.6044921875,1.0,164.0,0.0,0.0,197.69998057723382,163.98360163983602
Misericórdia,2020-03,351.67724609375,66042.8232421875,1.0,155.0,213.64599609375,1.0,187.79379444185705,154.98450154984502
Misericórdia,2020-04,351.67724609375,64132.248046875,1.0,156.0,213.64599609375,1.0,182.3610441764954,155.98440155984403
Misericórdia,2020-05,351.67724609375,64487.06103515625,1.0,156.0,213.64599609375,1.0,183.36996042379516,155.98440155984403
Misericórdia,2020-06,506.41552734375,57739.50390625,2.0,144.0,213.64599609375,1.0,114.01603897791446,71.996400179991
Misericórdia,2020-07,506.41552734375,55954.4462890625,2.0,139.0,213.64599609375,1.0,110.49115246019288,69.4965251737413
Misericórdia,2020-08,506.41552734375,51502.7587890625,2.0,131.0,213.64599609375,1.0,101.70057164152821,65.4967251637418
Misericórdia,2020-09,154.73828125,54852.7763671875,1.0,130.0,213.64599609375,1.0,354.48720559229383,129.98700129987
Misericórdia,2020-10,154.73828125,52733.1376953125,1.0,130.0,213.64599609375,1.0,340.7889966879985,129.98700129987
Misericórdia,2020-11,574.5234375,49757.00927734375,2.0,122.0,213.64599609375,1.0,86.60569329127573,60.99695015249237
Misericórdia,2020-12,574.5234375,48543.47021484375,2.0,111.0,213.64599609375,1.0,84.49344029676722,55.497225138743055
Misericórdia,2021-01,574.5234375,49677.88427734375,2.0,107.0,213.64599609375,1.0,86.46797047430586,53.49732513374331
Misericórdia,2021-02,574.5234375,46000.685546875,2.0,103.0,213.64599609375,1.0,80.06753865480229,51.49742512874356
Misericórdia,2021-03,574.5234375,46515.13671875,2.0,104.0,0.0,0.0,80.96297833359003,51.997400129993494
Misericórdia,2021-04,574.5234375,48816.37451171875,2.0,106.0,0.0,0.0,84.96845007280272,52.99735013249337
Misericórdia,2021-05,574.5234375,43113.06494140625,2.0,102.0,0.0,0.0,75.0414249849707,50.99745012749362
Misericórdia,2021-06,531.83203125,47111.6083984375,2.0,105.0,0.0,0.0,88.58360680034129,52.49737513124343
Misericórdia,2021-07,531.83203125,49054.35693359375,2.0,112.0,0.0,0.0,92.23654241855992,55.997200139993
Misericórdia,2021-08,531.83203125,49551.1787109375,2.0,113.0,0.0,0.0,93.17071271055795,56.497175141242934
