Freguesia,Year,Month,mean
Lumiar,2015,1,108.81112136932317
Avenidas Novas,2015,1,139.33400922698738
Areeiro,2015,1,131.99349392230695
Beato,2015,1,65.05805192404236
Benfica,2015,1,69.19883100551573
Misericórdia,2015,1,89.8667583674389
Parque das Nações,2015,1,78.8115783870702
Olivais,2015,1,111.61364724744107
Marvila,2015,1,90.58034311471215
Santa Clara,2015,1,72.78186380694761
Alvalade,2015,1,102.65645804775609
Penha de França,2015,1,79.38419193891244
Santo António,2015,1,132.42531743450306
Arroios,2015,1,120.81113058164135
Santa Maria Maior,2015,1,89.0705449248433
Campo de Ourique,2015,1,105.50125207768282
Alcântara,2015,1,66.74315514689509
Ajuda,2015,1,83.25097218403927
Belém,2015,1,60.99203625592591
São Domingos de Benfica,2015,1,99.5914663933023
Campolide,2015,1,114.21188030686487
Carnide,2015,1,101.3330621279464
São Vicente,2015,1,68.82630053815953
Estrela,2015,1,83.80447424282349
Lumiar,2015,2,100.69476264299404
Avenidas Novas,2015,2,123.10975061678828
Areeiro,2015,2,120.98028964409464
Beato,2015,2,59.69607602454179
Benfica,2015,2,65.11846533738411
Misericórdia,2015,2,78.33717741577226
Parque das Nações,2015,2,76.7540578873235
Olivais,2015,2,102.99483755464367
Marvila,2015,2,82.48149445187032
Santa Clara,2015,2,67.51129536576325
Alvalade,2015,2,98.89144217659323
Penha de França,2015,2,74.66510189642739
Santo António,2015,2,132.821431889599
Arroios,2015,2,107.3750940556489
Santa Maria Maior,2015,2,84.35638461297297
Campo de Ourique,2015,2,96.55378256886901
Alcântara,2015,2,59.822806912027886
Ajuda,2015,2,79.74429264868982
Belém,2015,2,59.2263218425943
São Domingos de Benfica,2015,2,96.18904512613416
Campolide,2015,2,104.0644838738679
Carnide,2015,2,95.93096567495317
São Vicente,2015,2,67.1569853785817
Estrela,2015,2,75.09142117963519
Lumiar,2015,3,114.0741437396931
Avenidas Novas,2015,3,135.95108168555362
Areeiro,2015,3,131.50372084104097
Beato,2015,3,68.05894797925127
Benfica,2015,3,77.28602949261979
Misericórdia,2015,3,88.69757762953559
Parque das Nações,2015,3,81.04793826515542
Olivais,2015,3,114.5180363727626
Marvila,2015,3,92.51017353873534
Santa Clara,2015,3,80.88431129126198
Alvalade,2015,3,107.78220105940675
Penha de França,2015,3,81.28172389548432
Santo António,2015,3,131.15441255447786
Arroios,2015,3,119.37984416163245
Santa Maria Maior,2015,3,93.45691982052894
Campo de Ourique,2015,3,105.4109937345531
Alcântara,2015,3,64.56965327801223
Ajuda,2015,3,87.25377120875459
Belém,2015,3,64.28832525146528
São Domingos de Benfica,2015,3,108.01111811361008
Campolide,2015,3,122.12633420530516
Carnide,2015,3,115.0787347007201
São Vicente,2015,3,74.14275467921648
Estrela,2015,3,80.41113722535543
Lumiar,2015,4,104.3863643415208
Avenidas Novas,2015,4,127.07887810537935
Areeiro,2015,4,128.57384594550498
Beato,2015,4,66.40026004917574
Benfica,2015,4,72.13520495237641
Misericórdia,2015,4,85.75370938047078
Parque das Nações,2015,4,78.81206413447191
Olivais,2015,4,114.48853613650901
Marvila,2015,4,89.65355437142509
