Localização geográfica à data dos Censos [2021] (NUTS - 2013);S7A2011:2011-1:Residência habitual-T:Total-T:Total;S7A2011:2011-2:Residência secundária-T:Total-T:Total;S7A2011:2011-3:Vago para venda ou arrendamento-T:Total-T:Total;S7A2011:2011-4:Vago por outros motivos-T:Total-T:Total;S7A2021:2021-1:Residência habitual-T:Total-T:Total;S7A2021:2021-2:Residência secundária-T:Total-T:Total;S7A2021:2021-3:Vago para venda ou arrendamento-T:Total-T:Total;S7A2021:2021-4:Vago por outros motivos-T:Total-T:Total
110601:Ajuda;6912;1094;384;493;6549;949;604;709
110602:Alcântara;6512;944;753;677;6668;682;601;907
110654:Alvalade;14104;2477;642;1534;14765;1659;888;1559
110655:Areeiro;8991;1553;782;1203;9452;1319;1028;730
110656:Arroios;14327;2582;1544;2558;15025;1933;1559;2331
110657:Avenidas Novas;9607;2005;969;1846;10432;2087;1034;1224
110607:Beato;5672;794;303;1015;5713;507;399;900
110658:Belém;6997;913;551;978;7154;791;550;879
110608:Benfica;16577;2223;807;1682;16488;1958;998;1436
110659:Campo de Ourique;10346;1432;777;1222;10370;998;978;1278
110610:Campolide;6581;1007;636;1000;6636;884;611;972
110611:Carnide;7544;817;439;507;7430;748;297;534
110660:Estrela;8738;1278;945;2136;8921;1172;915;1649
110618:Lumiar;18440;2733;1092;1073;19547;2496;887;1143
110621:Marvila;13877;1184;402;1032;14104;1180;671;818
110661:Misericórdia;6268;1409;1330;1482;4864;924;1847;1022
110633:Olivais;14211;1553;301;873;13986;1201;578;1177
110662:Parque das Nações;8283;1485;1074;671;9023;1147;495;656
110663:Penha de França;13016;1882;861;2026;13241;1583;1485;1382
110664:Santa Clara;8580;748;505;1083;9188;720;537;455
110665:Santa Maria Maior;5926;1285;1117;2324;4545;732;1377;1038
110666:Santo António;5482;1043;791;1153;5163;1003;1216;870
110639:São Domingos de Benfica;14833;2028;847;2125;15852;2371;867;1219
110667:São Vicente;7416;1216;1003;1203;6928;804;1327;1111
